day_group,match_time_str,tv_assignment,lookin_window,home_team,away_team,home_elo,away_elo,channels,sort_value,league
TODAY,2026-09-18 12:30 PM EDT,Other Screen,,VfL Wolfsburg,SV Darmstadt 98,1672,1590,Check listings,1549.0,German 2. Bundesliga
TODAY,2026-09-18 12:30 PM EDT,Other Screen,,SpVgg Greuther Fürth,1. FC Magdeburg,1527,1581,Check listings,1500.0,German 2. Bundesliga
TODAY,2026-09-18 01:00 PM EDT,Other Screen,,Kasimpasa,Konyaspor,1567,1533,beIN SPORTS,1516.0,Turkish Super Lig
TODAY,2026-09-18 02:00 PM EDT,TV 1 (Look-in),02:00 PM-02:30 PM (~30m),FC Groningen,PEC Zwolle,1520,1472,ESPN+,1448.0,Dutch Eredivisie
TODAY,2026-09-18 02:30 PM EDT,Other Screen,,Albacete,Córdoba,1613,1594,Check listings,1584.5,Spanish LALIGA 2
TODAY,2026-09-18 02:30 PM EDT,TV 1 (Look-in),02:30 PM-03:00 PM (~30m),Bayern Munich,1. FC Union Berlin,2046,1680,Fandango,1497.0,German Bundesliga
TODAY,2026-09-18 02:45 PM EDT,TV 2,,AS Monaco,Lens,1798,1817,beIN SPORTS,1788.5,French Ligue 1
TODAY,2026-09-18 02:45 PM EDT,Other Screen,,Monza,Sassuolo,1636,1703,Paramount+,1602.5,Italian Serie A
TODAY,2026-09-18 02:45 PM EDT,Other Screen,,KAA Gent,Standard Liege,1628,1588,DAZN,1568.0,Belgian Pro League
TODAY,2026-09-18 03:00 PM EDT,TV 1,,Brentford,Chelsea,1848,1888,USA Net,1828.0,English Premier League
TODAY,2026-09-18 03:00 PM EDT,TV 3,,Espanyol,Elche,1712,1694,"ESPN Deportes, ESPN+",1685.0,Spanish LALIGA
TODAY,2026-09-18 03:00 PM EDT,Other Screen,,Bristol City,Watford,1584,1531,Paramount+,1504.5,English League Championship
TOMORROW,2026-09-19 07:00 AM EDT,Other Screen,,Karlsruher SC,1. FC Nürnberg,1572,1612,Check listings,1552.0,German 2. Bundesliga
TOMORROW,2026-09-19 07:00 AM EDT,Other Screen,,Holstein Kiel,VfL Osnabruck,1588,1554,Check listings,1537.0,German 2. Bundesliga
TOMORROW,2026-09-19 07:00 AM EDT,Other Screen,,Kaiserslautern,TSV Eintracht Braunschweig,1605,1516,Check listings,1471.5,German 2. Bundesliga
TOMORROW,2026-09-19 07:30 AM EDT,TV 1,,Tottenham Hotspur,Aston Villa,1806,1884,"USA Net, Universo",1767.0,English Premier League
TOMORROW,2026-09-19 07:30 AM EDT,TV 2,,Millwall,West Ham United,1637,1783,Paramount+,1564.0,English League Championship
TOMORROW,2026-09-19 07:30 AM EDT,Other Screen,,Cardiff City,Charlton Athletic,1563,1552,Check listings,1546.5,English League Championship
TOMORROW,2026-09-19 07:30 AM EDT,Other Screen,,Stoke City,Sheffield United,1555,1623,Check listings,1521.0,English League Championship
TOMORROW,2026-09-19 08:00 AM EDT,TV 3,,Osasuna,Rayo Vallecano,1723,1740,"ESPN Deportes, ESPN+",1714.5,Spanish LALIGA
TOMORROW,2026-09-19 08:00 AM EDT,TV 1 (Look-in),09:25 AM-09:55 AM (~30m),Real Sociedad II,Mallorca,1768,1715,ESPN+,1688.5,Spanish LALIGA 2
TOMORROW,2026-09-19 09:00 AM EDT,Other Screen,,Udinese,Cagliari,1704,1671,Paramount+,1654.5,Italian Serie A
TOMORROW,2026-09-19 09:00 AM EDT,Other Screen,,Bologna,Torino,1755,1680,Paramount+,1642.5,Italian Serie A
TOMORROW,2026-09-19 09:30 AM EDT,TV 2,,Eintracht Frankfurt,SC Freiburg,1741,1792,Fandango,1715.5,German Bundesliga
TOMORROW,2026-09-19 09:30 AM EDT,TV 3 (Look-in),09:55 AM-11:15 AM (~80m),Werder Bremen,FC Augsburg,1690,1726,Fandango,1672.0,German Bundesliga
